problem,ingredient,product name,product link
acne,"Aqua, Caprylic/​Capric Triglyceride, Decyl Oleate, Polyglyceryl-3 Methylglucose Distearate, Glycerin, Cetearyl Alcohol, Glyceryl Stearate SE, Olea Europaea Husk Oil, Cera Alba, Aminobutyric Acid, Cocos Nucifera Oil, Simmondsia Chinensis Seed Oil, Olea Europaea Fruit Oil, Acetylneuraminic Acid, Panthenol, Hydrolyzed Glycosaminoglycans, Hyaluronic Acid, Alcohol, Tocopherol, Ascorbyl Palmitate, Ascorbic Acid, Citric Acid, Xanthan Gum, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Phenoxyethanol, Ethylhexylglycerin, Parfum, Benzyl Salicylate, Coumarin, Hydroxycitronellal, Linalool",Arkana Neuro Gaba And Nano Cream,https://inkeedecoder.com/products/arkana-neuro-gaba-and-nano-cream
acne,"Water, Glycerin, Butylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Carbomer, Arginine, Erythritol, Ethylhexylglycerin, Polyglyceryl-10 Laurate, Adenosine, Disodium EDTA, Dipotassium Glycyrrhizate, Dipropylene Glycol, Sodium Hyaluronate, Allium Cepa (Onion) Bulb Extract, Hydrolyzed Gardenia Florida Extract, Maltodextrin, Ascorbic Acid, Acetylneuraminic Acid, Niacinamide, Nicotinamide Mononucleotide, Panthenol, Tocopherol, Tranexamic Acid, Centella Asiatica Leaf Extract, Dimethylsilanol Hyaluronate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Hyaluronate Crosspolymer, Copper Tripeptide-1, Sodium Hyaluronate Dimethylsilanol, Sodium Acetylated Hyaluronate",Isntree Onion Newpair Soothing Mask,https://inkeedecoder.com/products/isntree-onion-newpair-soothing-mask
acne,"Adapalene 0.1%, Carbomer Homopolymer, Edetate Disodium, Methylparaben, Poloxamer 182, Propylene Glycol, Purified Water, Sodium Hydroxide","0.1% | Effaclar Adapalene Gel 0.1% Acne Treatment
        

            La Roche-Posay",https://inkeedecoder.com/products/la-roche-posay-effaclar-adapalene-gel-0-1-acne-treatment
acne,"Water, Azelaic Acid 20.0%, Ascorbic Acid, Tocopherol, Collagen, Ubiquinone, Carbomer, Squalane, Centella Asiatica Extract, Curcuma Longa Root Extract, Glycolic Acid, Sodium Hydroxide, EDTA, Potassium Sorbate","20.0% | Azelaic Acid
        

            Derma Forte",https://inkeedecoder.com/products/derma-forte-azelaic-acid
acne,"Aqua, Propylene Glycol, Azelaic Acid 15.0%, Tetrahydroxypropyl Ethylenediamine, Potassium Azeloyl Diglycinate 5.0%, Polyacrylate Crosspolymer-6, Salicylic Acid 2.0%, Lactobionic Acid, Bisabolol, Gluconolactone, Arginine, Quaternium-73, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Isopentyldiol, O- Cymen-5-Ol, Hydroxyacetophenone","15.0% | Azelaic Acid Control Facial Acne Gel
        

            Aisuanis",https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-control-facial-acne-gel
acne,"Aqua, Dipropylene Glycol, Cyclopentasiloxane, Azelaic Acid 10.0%, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone, Phenyl Trimethicone, Polyglyceryl-4 Isostearate, Sodium Hydroxide, Squalane, Salicylic Acid 1.0%, Mandelic Acid, Potassium Azeloyl Diglycinate, Panthenol, Niacinamide, Stephania Tetrandra Extract, Beta-Sitosterol, Arginine, Tremella Fuciformis (Mushroom) Extract, Butylene Glycol, Sodium Hyaluronate, Magnesium Stearate, Hydroxyacetophenone, 1,2-Hexanediol, Quaternium-73, Pentylene Glycol, Hydroxyphenyl Propamidobenzoic Acid","10.0% | Empowerment Azelaic Acid Sebamed Clear Face Facial Cream
        

            Aisuanis",https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-sebamed-clear-face-facial-cream
acne,"Aqua (Water), Propylene Glycol, Azelaic Acid 10.0%, Caprylic/​Capric Triglyceride, Stearyl Alcohol, Betaine, Glycerin, Ceteareth-20, Allantoin, Polyacrylate Crosspolymer-6, Disodium EDTA, Methylparaben","10.0% | Professional 10% Azelaic Acid Face Serum
        

            Bielenda",https://inkeedecoder.com/products/bielenda-professional-10-azaleic-acid-face-serum
acne,"Aloe Barbadensis Leaf Extract, Propylene Glycol, Azelaic Acid 10.0%, Polysorbate 20, 1,2-Hexanediol, Propanediol, Panthenol, Niacinamide, Sodium Hyaluronate 0.2%, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Rosmarinus Officinalis (Rosemary) Extract, Eucalyptus Globulus Leaf Extract, Thymus Vulgaris (Thyme) Extract, Aspalathus Linearis Extract","10.0% | Azelaic Acid 10% Serum
        

            Cos De BAHA",https://inkeedecoder.com/products/cos-de-baha-azelaic-acid-10-serum
acne,"Aqua (Water), Azelaic Acid 10.0%, Caprylic/​Capric Triglyceride, Niacinamide 5.0%, Dicaprylyl Carbonate, Ascorbyl Glucoside 2.0%, Cetearyl Alcohol, Glycerin, Glyceryl Stearate SE, Cetearyl Olivate, Bakuchiol 1.0%, Sorbitan Olivate, Benzyl Alcohol, Xanthan Gum, Phenoxyethanol, Sodium Hydroxide, Disodium EDTA, Dehydroacetic Acid","10.0% | Flawless Brightly Serum
        

            Dr Sam Bunting",https://inkeedecoder.com/products/dr-sam-bunting-flawless-brightly-serum
acne,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Azelaic Acid 10.0%, Dimethicone/​Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin","10.0% | Azelaic Acid Suspension 10%
        

            The Ordinary",https://inkeedecoder.com/products/the-ordinary-azelaic-acid-suspension-10
