problem,ingredient,product name,product link
comedo,"Tomato Extract, Ginseng Extract, Charcoal Extract, Aloe Vera Extract, Glycyrrhiza Glabra Root Extract, Hamamelis Virginiana Extract, Dimethicone, Biosaccharide Gum-1, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Saxifraga Sarmentosa Extract, Acetyl Tyrosine, Arbutin, Glutathione, Aminopropyl Ascorbyl Phosphate, Acrylate/​C10-30 Alkyl Acrylate Crosspolymer, Disodium, Ethylenediaminetetraacetic Acid, Triethanolamine, Glycerin, Propylene Glycol, Betaine, Sodium Hyaluronate, Niacinamide, Allantoin, DMDM Hydantoin, Methylisothiazolinone, Methylchloroisothiazolinone, Xylitylglucoside, Anhydroxylitol, Xylitol, Methylpropanediol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Perfume",The Face Shop Real Nature Aloe Vera Sheet Mask,https://inkeedecoder.com/products/the-face-shop-real-nature-aloe-vera-sheet-mask
comedo,"Water, Moringa Extract, Mint Extract, Charcoal Extract, Aqua, Chondrus Crispus Extract, Aloe Vera Extract, Glycyrrhiza Glabra Root Extract, Hamamelis Virginiana Extract, Acrylate/​C10-30 Alkyl Acrylate Crosspolymer, Disodium Ethylenediaminetetraacetic Acid, Triethanolamine, Glycerin, Propylene Glycol, Betaine, Sodium Hyaluronate, Niacinamide, Allantoin, DMDM Hydantoin, Methylisothiazolinone, Methylchloroisothiazolinone, Xylitylglucoside, Anhydroxylitol, Xylitol, Methylpropanediol, Dimethicone, Biosaccharide Gum-1, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Perfume",masking Charcoal Facial Sheet Mask,https://inkeedecoder.com/products/masking-charcoal-facial-sheet-mask
comedo,"Aqua (Purified Water), Glycerin (Plant Origin), Dipropylene Glycol, Butylene Glycol, Charcoal Extract, Phenoxyethanol, Ethylhexylglycerin, PEG-60 Hydrogenated Castor Oil, Panthenol (Pro-Vitamin B5), Niacinamide (Vitamin B3), Sodium Hyaluronate, Adenosine, Hydrolyzed Extensin, 1,2-Hexanediol, Bambusa Vulgaris Extract, Caprylyl Glycol, Oryza Sativa (Rice) Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Rosmarinus Officinalis (Rosemary) Extract, Charcoal Powder, Tocopheryl (Vitamin E) Acetate, Disodium EDTA, Arginine, Carbomer, Hydroxyethylcellulose (Thickening Agent), Benzyl Glycol, Raspberry Ketone, Parfum (Fragrance)",7th Heaven Charcoal Tonic Mask,https://inkeedecoder.com/products/7th-heaven-charcoal-tonic-mask
comedo,"Water, Glycerin, Dipropylene Glycol, PEG/​PPG-17/​6 Copolymer, Niacinamide, Charcoal Extract (0.97%), PEG-60 Hydrogenated Castor Oil, Trehalose, Erythritol, Cellulose Gum, Betaine, Portulaca Oleracea Extract, Butylene Glycol, Caprylyl Glycol, Carbomer, Panthenol, Tromethamine, Vitis Vinifera (Grape) Fruit Extract, Allantoin, Diospyros Kaki Leaf Extract, Polygonum Cuspidatum Root Extract, Coffea Arabica (Coffee) Seed Extract, Carthamus Tinctorius (Safflower) Flower Extract, Caprylhydroxamic Acid, Xanthan Gum, Zanthoxylum Schinifolium Leaf Extract, Castanea Crenata (Chestnut) Shell Extract, Disodium EDTA, Camellia Sinensis Leaf Extract, 1,2-Hexanediol, Sodium Hyaluronate, Ethylhexylglycerin, Phenoxyethanol, Fragrance",Mirabelle Charcoal Sheet Mask,https://inkeedecoder.com/products/mirabelle-charcoal-sheet-mask
comedo,"Aqua (Water), Glycerin, Butylene Glycol, Propylene Glycol, Diospyros Kaki Leaf Extract, Charcoal Extract, Chamomilla Recutita (Matricaria) Extract, Castanea Crenata (Chestnut) Shell Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Illicium Verum (Anise) Fruit Extract, Carthamus Tinctorius (Safflower) Flower Extract, Coffea Arabica (Coffee) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Polygonum Cuspidatum Root Extract, Chamaecyparis Obtusa Water, Dipotassium Glycyrrhizate, Betaine, Sodium Hyaluronate, Isopentyldiol, Arginine, Xanthan Gum, Carbomer, Polysorbate 80, Propanediol, Allantoin, Disodium EDTA, Ethylhexylglycerin, 1,2-Hexanediol, Chlorphenesin, Phenoxyethanol, Parfum",Stay Well Classic Mask Purifying Charcoal,https://inkeedecoder.com/products/stay-well-classic-mask-purifying-charcoal
comedo,"Water (Aqua, Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Hydroxysultaine, Cocamide MIPA, Cocamidopropyl Betaine, Panthenol (Vitamin B5), Charcoal Extract, Camellia Sinensis (Green Tea) Leaf Extract, Kaolin, Glycol Distearate, Sodium Stearoyl Lactylate, Glycerin, Hydroxypropyl Methylcellulose, Sodium Hydroxypropylphosphate Decylglucoside Crosspolymer, Polysorbate 20, PEG-150 Distearate, Phenoxyethanol, Disodium EDTA, Citric Acid, Sodium Chloride, Fragrance (Parfum), Green 5 (Ci 61579), Yellow 6 (Ci 15985)",b.fresh Get It Squeaky Clean Deep Cleansing Shampoo,https://inkeedecoder.com/products/b-fresh-get-it-squeaky-clean-deep-cleansing-shampoo
comedo,"Water, Butylene Glycol, Glycerin, Alcohol, Betaine, Allantoin, Lilium Tigrinum Extract, Charcoal Extract, Carbomer, Xanthan Gum, Tromethamine, PEG-60 Hydrogenated Castor Oil, Sodium Hyaluronate, Phenoxyethanol, Disodium EDTA, Hippophae Rhamnoides Extract, Rosmarinus Officinalis (Rosemary) Extract, Methylparaben, Fragrance",Dearboo Lily & Charcoal Everyday Mask,https://inkeedecoder.com/products/dearboo-lily-charcoal-everyday-mask
comedo,"Water, Alcohol Denat, Glycerin, Propanediol, Carbomer, Quaternium-60, Propylene Glycol, Charcoal Extract, Mentha Viridis (Spearmint) Extract, Mentha Rotundifolia Leaf Extract, Mentha Piperita (Peppermint) Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Lavandula Angustifolia (Lavender) Extract, Rosmarinus Officinalis (Rosemary) Extract, Origanum Vulgare Flower/​Leaf/​Stem Extract, Thymus Vulgaris (Thyme) Extract, Ruscus Aculeatus Root Extract, Menthol, Camphor, Peat Water, Acacia Senegal Gum, Citric Acid, Potassium Sorbate, Hydroxypropyl Methylcellulose, Butylene Glycol, Tocopheryl Acetate, Magnesium Sulfate, Ethylhexylglycerin, Cetrimonium Chloride, PEG-60 Hydrogenated Castor Oil, 1,2-Hexanediol, Disodium EDTA, Phenoxyethanol, Parfum",The Saem Care Plus Body Peeling Spray,https://inkeedecoder.com/products/the-saem-care-plus-body-peeling-spray
comedo,"Aqua, Polyvinyl Alcohol, Alcohol Denat, Poloxamer 185, Xanthan Gum, Parfum/​Fragrance, Glycerin, BHT, Charcoal Extract, Vaccinium Vitis-Idaea Fruit Extract, Methylparaben, Ci 77891, Ci 77491, Ci 77492, Ci 77499, Linalool",Avon planet spa Korean Charcoal Cleanse & Refine Peel Off Face Mask,https://inkeedecoder.com/products/avon-planet-spa-korean-charcoal-cleanse-refine-peel-off-face-mask
comedo,"Aqua (Water), Glycerin, Butylene Glycol, Propylene Glycol, Oat Amino Acids, Vegetable Amino Acids, Diospyros Kaki Leaf Extract, Charcoal Extract, Chamomilla Recutita (Matricaria) Extract, Castanea Crenata (Chestnut) Shell Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Illicium Verum (Anise) Fruit Extract, Carthamus Tinctorius (Safflower) Flower Extract, Coffea Arabica (Coffee) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Polygonum Cuspidatum Root Extract, Chamaecyparis Obtusa Water, Dipotassium Glycyrrhizate, Betaine, Sodium Hyaluronate, Arginine, Xanthan Gum, Carbomer, Polysorbate 80, Propanediol, Allantoin, Disodium EDTA, Ethylhexylglycerin, 1,2-Hexanediol, Chlorphenesin, Phenoxyethanol, Parfum",Stay Well Classic Mask Firming Pearl & Collagen,https://inkeedecoder.com/products/stay-well-classic-mask-firming-pearl-collagen
comedo,"Water, Glycerin, Carbomer, Triethanolamine, Disodium EDTA, Hydroxyethylcellulose, Betaine, Sodium Hyaluronate, Polysorbate 20, Charcoal Extract (25Mg), Hordeum Vulgare Extract, Daucus Carota Sativa (Carrot) Root Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Pueraria Lobata Root Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Citrus Unshiu Peel Extract, Phenoxyethanol, Fragrance",eyeNlip Charcoal Moisture Essence Mask,https://inkeedecoder.com/products/eyenlip-charcoal-moisture-essence-mask
comedo,"Ethylhexyl Palmitate, Caprylic/​Capric Triglyceride, PEG-20 Glyceryl Triisostearate, Cetyl Ethylhexanoate, PEG-12 Diisostearate, Polyethylene, Phenoxyethanol, Aqua, Caprylyl Glycol, Glucosylrutin, Charcoal Extract, Lactic Acid, Mandelic Acid, Malic Acid, Lactobionic Acid, Glycolic Acid, Capryloyl Salicylic Acid, Salicylic Acid, Parfum, Tocopherol, Centella Asiatica Extract, Salix Alba (Willow) Bark Extract, Bixa Orellana Seed Extract, Sodium Hyaluronate",Dear Me Beauty Acne Care Meltaway Balm,https://inkeedecoder.com/products/dear-me-beauty-acne-care-meltaway-balm
comedo,"Tea Tree Leaf Water, Centella Asiatica Extract, Sodium Dna (30,000 Ppm), Glycerin, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Sodium Hyaluronate, Castanea Crenata Shell Extract, Camu Camu Fruit Extract, Charcoal Extract, Green Tea Extract, Licorice Root Extract, Strawberry Extract, Acai Palm Fruit Extract, Cranberry Extract, Betaine, Allantoin, Acetyl Glucosamine, Artichoke Extract, Camellia Japonica Extract, Pine Mushroom Extract, Xanthan Gum, Carbomer, Arginine, Hibiscus Flower Extract, Honey Extract, Bifida Ferment Filtrate, Copper Tripeptide-1, Acetyl Hexapeptide-8, Alanine/​Histidine/​Lysine Polypeptide Copper HCL, SH-Oligopeptide-1, Tripeptide-29, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Tetrapeptide-44, Caprylyl Glycol, Adenosine, Disodium EDTA, Fragrance",Dr. HeAler Sodium D.n.a Activator Ampoule P.d.r.n,https://inkeedecoder.com/products/dr-healer-sodium-d-n-a-activator-ampoule-p-d-r-n
comedo,"Water, Propanediol, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Hydroxyacetophenone, Portulaca Oleracea Extract, Trehalose, Xanthan Gum, Citrus Limon (Lemon) Juice, Charcoal Extract, Allantoin, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Polyglyceryl-10 Laurate, Butylene Glycol, Tetrasodium Iminodisuccinate, Organic Hamamelis Virginiana (Witch Hazel) Extract, Dipotassium Glycyrrhizate, Sodium Hyaluronate, Ethylhexylglycerin, Ascorbyl Glucoside, Citrus Limon (Lemon) Fruit Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Beta-Glucan, Organic Usnea Barbata (Lichen) Extract, Organic Zanthoxylum Piperitum Fruit Extract, Organic Pulsatilla Koreana Extract",ESW Beauty Raw Juice Korean Beauty Sheet Mask,https://inkeedecoder.com/products/esw-beauty-raw-juice-korean-beauty-sheet-mask
comedo,"Water, Glycerin, PEG-60 Hydrogenated Castor Oil, Phenoxyethanol, Carbomer, Potassium Hydroxide, Fragrance, Cyclohexane, Sodium Hyaluronate, Butylene Glycol, Charcoal Extract",Ever organics Charcoal Purifying Serum Soothing Gel,https://inkeedecoder.com/products/ever-organics-charcoal-purifying-serum-soothing-gel
comedo,"Water (Aqua), Propylene Glycol, Glycerin, Sorbitol, Sodium Stearate, Sodium Cocoyl Isethionate, Sodium Myristate, Sodium Palmitate, Sodium Laurate, Fragrance, Charcoal Extract, Tocopherol, Hyaluronic Acid, Kojic Acid, Pyridoxine",Koji White Kojic Acid & Charcoal Black Soap,https://inkeedecoder.com/products/koji-white-kojic-acid-charcoal-black-soap
