problem,ingredient,product name,product link
dark spots,"Avobenzone 3.0%, Octinoxate 7.5%, Octisalate 5.0%, Aqua/​Water/​Eau, Acetyl Glucosamine 8.0%, Butyloctyl Salicylate, Dimethicone, C12-15 Alkyl Benzoate, Glycerin, Cyclopentasiloxane, Glyceryl Stearate, Butylene Glycol, Cyclohexasiloxane, Octyldodecyl Neopentanoate, Cetyl Alcohol, PEG-100 Stearate, Cetearyl Alcohol, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Extract 1.0%, Tetrahydrodiferuloylmethane 0.25%, 4-Butylresorcinol 0.3%, Ceteth-20, PEG-75 Stearate, Propylene Glycol, Disodium EDTA, Steareth-20, Xanthan Gum, Ammonium Hydroxide, Sodium Bisulfite, Carbomer, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin","0.3% | Enlighten Skin Brightener Spf35
        

            Neostrata",https://inkeedecoder.com/products/neostrata-enlighten-skin-brightener-spf35
dark spots,"Avobenzone 3.0%, Octinoxate 7.5%, Octisalate 5.0%, Aqua/​Water/​Eau, Acetyl Glucosamine 8.0%, Butyloctyl Salicylate, Dimethicone, C12-15 Alkyl Benzoate, Glycerin, Cyclopentasiloxane, Glyceryl Stearate, Butylene Glycol, Cyclohexasiloxane, Octyldodecyl Neopentanoate, Cetyl Alcohol, PEG-100 Stearate, Cetearyl Alcohol, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Extract 1.0%, Tetrahydrodiferuloylmethane 0.25%, 4-Butylresorcinol 0.3%, Ceteth-20, PEG-75 Stearate, Propylene Glycol, Disodium EDTA, Steareth-20, Xanthan Gum, Ammonium Hydroxide, Sodium Bisulfite, Carbomer, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin","8.0% | Enlighten Skin Brightener Spf35
        

            Neostrata",https://inkeedecoder.com/products/neostrata-enlighten-skin-brightener-spf35
dark spots,"Water, Niacinamide 5.0%, Arbutin 2.0%, Acetyl Glucosamine 2.0%, Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate 1.0%, Pentylene Glycol, Butylene Glycol, Sophora Flavescens Root Extract**, Glycyrrhiza Inflata Root Extract**, Scutellaria Baicalensis Root Extract**, Dimethicone, Sodium Polyacrylate, C18-21 Alkane, Trideceth-6, 1,2-Hexanediol, Hydroxyacetophenone, Chlorphenesin","2.0% | Lab. Restoring Brightening Serum
        

            Purid",https://inkeedecoder.com/products/purid-lab-restoring-brightening-serum
dark spots,"Water, Butylene Glycol, Propanediol, Glycerin, Alpha-Arbutin 2.0%, Dicaprylyl Carbonate, Caprylic/​Capric Triglyceride, Leuconostoc/​Radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Squalane 0.5%, Phospholipids, Glycine Soja (Soybean) Extract, Carbomer, Polysorbate 60, Disodium EDTA, Sodium Hydroxide, Glycolipids, Glycine Soja (Soybean) Sterols, Tetrapeptide -30","2.0% | Alpha Arbutin Brightening Serum
        

            The Inkey List",https://inkeedecoder.com/products/inkey-list-alpha-arbutin
dark spots,"Propanediol, Ascorbic Acid 8.0%, Alpha-Arbutin 2.0%","2.0% | Ascorbic Acid 8% + Alpha Arbutin 2%
        

            The Ordinary",https://inkeedecoder.com/products/the-ordinary-ascorbic-acid-8-alpha-arbutin-2
dark spots,"Water, Azelaic Acid 20.0%, Ascorbic Acid, Tocopherol, Collagen, Ubiquinone, Carbomer, Squalane, Centella Asiatica Extract, Curcuma Longa Root Extract, Glycolic Acid, Sodium Hydroxide, EDTA, Potassium Sorbate","20.0% | Azelaic Acid
        

            Derma Forte",https://inkeedecoder.com/products/derma-forte-azelaic-acid
dark spots,"Aqua, Propylene Glycol, Azelaic Acid 15.0%, Tetrahydroxypropyl Ethylenediamine, Potassium Azeloyl Diglycinate 5.0%, Polyacrylate Crosspolymer-6, Salicylic Acid 2.0%, Lactobionic Acid, Bisabolol, Gluconolactone, Arginine, Quaternium-73, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Isopentyldiol, O- Cymen-5-Ol, Hydroxyacetophenone","15.0% | Azelaic Acid Control Facial Acne Gel
        

            Aisuanis",https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-control-facial-acne-gel
dark spots,"Aqua, Dipropylene Glycol, Cyclopentasiloxane, Azelaic Acid 10.0%, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone, Phenyl Trimethicone, Polyglyceryl-4 Isostearate, Sodium Hydroxide, Squalane, Salicylic Acid 1.0%, Mandelic Acid, Potassium Azeloyl Diglycinate, Panthenol, Niacinamide, Stephania Tetrandra Extract, Beta-Sitosterol, Arginine, Tremella Fuciformis (Mushroom) Extract, Butylene Glycol, Sodium Hyaluronate, Magnesium Stearate, Hydroxyacetophenone, 1,2-Hexanediol, Quaternium-73, Pentylene Glycol, Hydroxyphenyl Propamidobenzoic Acid","10.0% | Empowerment Azelaic Acid Sebamed Clear Face Facial Cream
        

            Aisuanis",https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-sebamed-clear-face-facial-cream
dark spots,"Aqua (Water), Propylene Glycol, Azelaic Acid 10.0%, Caprylic/​Capric Triglyceride, Stearyl Alcohol, Betaine, Glycerin, Ceteareth-20, Allantoin, Polyacrylate Crosspolymer-6, Disodium EDTA, Methylparaben","10.0% | Professional 10% Azelaic Acid Face Serum
        

            Bielenda",https://inkeedecoder.com/products/bielenda-professional-10-azaleic-acid-face-serum
dark spots,"Aloe Barbadensis Leaf Extract, Propylene Glycol, Azelaic Acid 10.0%, Polysorbate 20, 1,2-Hexanediol, Propanediol, Panthenol, Niacinamide, Sodium Hyaluronate 0.2%, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Rosmarinus Officinalis (Rosemary) Extract, Eucalyptus Globulus Leaf Extract, Thymus Vulgaris (Thyme) Extract, Aspalathus Linearis Extract","10.0% | Azelaic Acid 10% Serum
        

            Cos De BAHA",https://inkeedecoder.com/products/cos-de-baha-azelaic-acid-10-serum
