problem,ingredient,product name,product link
pores,"Propylene Glycol, PEG-75, PEG-8, Water, Salicylic Acid 9.0%, Glycerin, Avena Sativa (Oat) Kernel Extract, Butylene Glycol, Boerhavia Diffusa Root Extract, Sea Whip Extract, Arginine, Polysorbate 20, Disodium EDTA","9.0% | Resist Bha 9
        

            Paula's Choice",https://inkeedecoder.com/products/paulas-choice-resist-bha-9
pores,"Salicylic Acid 6.0%, Resorcinol 2.0%, Phenol 1.0%, Methyl Salicylate 0.003%, Glycerin 0.003%, Alcohol, Water","6.0% | Compound Salicylic Acid Liniment
        

            Sanyi",https://inkeedecoder.com/products/sanyi-compound-salicylic-acid-liniment
pores,"Aqua, Propylene Glycol, Azelaic Acid 15.0%, Tetrahydroxypropyl Ethylenediamine, Potassium Azeloyl Diglycinate 5.0%, Polyacrylate Crosspolymer-6, Salicylic Acid 2.0%, Lactobionic Acid, Bisabolol, Gluconolactone, Arginine, Quaternium-73, Dipotassium Glycyrrhizate, 1,2-Hexanediol, Isopentyldiol, O- Cymen-5-Ol, Hydroxyacetophenone","2.0% | Azelaic Acid Control Facial Acne Gel
        

            Aisuanis",https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-control-facial-acne-gel
pores,"Water, Poloxamer 407, Laureth-40, PEG-8, Glycerin, Salicylic Acid 2.0%, Bisabolol, Dipotassium Glycyrrhizate","2.0% | Nuorishing Spa Mask
        

            BRODA® PRO",https://inkeedecoder.com/products/broda-r-pro-nuorishing-spa-mask
pores,"Aqua (Water), Propylene Glycol, Ammonium Polyacryloyldimethyl Taurate, Azelaic Acid 5.0%, Squalane 5.0%, Salicylic Acid 2.0%, Glyceryl Stearate, Disodium EDTA, PEG-100 Stearate, Sodium Hydroxide, Bakuchiol 0.5%","2.0% | Flawless Neutralising Gel
        

            Dr. Sam Bunting Skincare",https://inkeedecoder.com/products/dr-sam-bunting-skincare-flawless-neutralising-gel
pores,"Salicylic Acid 2.0%, Neem Oil (Anti-Bacterial), Tea Tree Oil (Anti-Acne), Niacinamide (Brightening, Anti-Redness), Green Tea Extract (Conditioning, Calming), (Wheat And Oat) Sugar (Hydration - Gluten Free), Allantoin (Healing), Lavender Oil (Calming), Glycerin (Humectant), Propylene Glycol (Humectant, Penetration Enhancer), Polyacrylate Crosspolymer - 6 (Co-Gelling Agent), Acacia Senegal Gum (Gelling Agent), Xanthan Gum (Gelling Agent), Disodium EDTA (Heavy Metal Remover), Sodium Hydroxide (Ph Adjuster), Polysorbate 20 (Emulsifier), Phenoxyethanol (Preservative), (Double Distilled And Demineralized) Water","2.0% | Neem & BHA Spot Clarifying Serum
        

            Dr. Sheth's",https://inkeedecoder.com/products/dr-sheths-neem-bha-spot-clarifying-serum
pores,"Propanediol, Spring Water, Salicylic Acid 2.0%, Dehydroxanthan Gum","2.0% | Salicylic Acid 2% Serum
        

            Garden of Wisdom",https://inkeedecoder.com/products/garden-of-wisdom-salicylic-acid-serum
pores,"Salicylic Acid 2.0%, Water (Aqua), Alcohol, Hamamelis Virginiana (Witch Hazel) Water, Propanediol, Pentylene Glycol, Glycerin, Silica, Butylene Glycol, Polyacrylate Crosspolymer-6, C12-15 Alkyl Lactate, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Avena Sativa (Oat) Kernel Extract, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Thymol, Terpineol, Hydroxyphenyl Propamidobenzoic Acid, Shea Butter Ethyl Esters, 4-T-Butylcyclohexanol, Disodium EDTA, Sodium Hydroxide","2.0% | Rapid Relief Acne Spot Treatment
        

            Murad",https://inkeedecoder.com/products/murad-rapid-relief-acne-spot-treatment
pores,"Salicylic Acid 2.0%, Water, Alcohol Denat, Hamamelis Virginiana (Witch Hazel) Water, Butylene Glycol, Glycereth-7, Methyl Gluceth-20, Alcohol, Fragrance, Propylene Glycol, Benzophenone-4, Aloe Barbadensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Blue 1","2.0% | Clear Pore Oil-Eliminating Astringent
        

            Neutrogena",https://inkeedecoder.com/products/neutrogena-clear-pore-oil-eliminating-astringent
pores,"Water (Aqua), Dipropylene Glycol, Pentylene Glycol, Salicylic Acid 2.0%, Polysorbate 20, Butylene Glycol, Glycerin, Sodium Hyaluronate, Dipotassium Glycyrrhizate, Allantoin, Panthenol, PEG/​PPG-17/​6 Copolymer, Methyl Gluceth-20, Glycereth-26, Bis-PEG-18 Methyl Ether Dimethyl Silane, Sodium Hydroxide, Tetrasodium EDTA, Sodium Metabisulfite","2.0% | Clear Regular Strength Anti-Redness Exfoliating Solution With 2% Salicylic Acid
        

            Paula's Choice",https://inkeedecoder.com/products/paulas-choice-clear-regular-strength-anti-redness-exfoliating-solution-with-2-salicylic-acid
pores,"Water (Aqua), Dipropylene Glycol, Salicylic Acid 2.0%, Pentylene Glycol, Butylene Glycol, Polysorbate 20, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Dipotassium Glycyrrhizate, Nordihydroguaiaretic Acid, Oleanolic Acid, Sodium Hyaluronate, Allantoin, Trehalose, Panthenol, Glycerine, PEG-60 Almond Glycerides, Sodium Metabisulfite, PEG/​PPG-17/​6 Copolymer, Methyl Gluceth-20, Bis-PEG-18 Methyl Ether Dimethyl Silane, Glycereth-26, Sodium Hydroxide, Carbomer, Disodium EDTA, Caprylyl Glycol","2.0% | Resist Daily Pore-Refining Treatment 2% Bha
        

            Paula's Choice",https://inkeedecoder.com/products/paulas-choice-resist-daily-pore-refining-treatment-2-bha
