problem,ingredient,product name,product link
wrinkles,"Tretinoin, Propylene Glycol, Isopropanol, Carbomer, Triethanolamine, Butylated Hydroxytoluene, Methyl Hydroxybenzoate, Propyl Hydroxybenzoate",A-Ret Tretinoin 0.1%,https://inkeedecoder.com/products/a-ret-tretinoin-0-1
wrinkles,"Tretinoin, PEG-4 Olivate, Olive Oil PEG-7 Esters, Methyl Hydroxybenzoate, Propyl Hydroxybenzoate, Propylene Glycol, Silicon Oil, Caprylic/​Capric Triglyceride, Carbomer, Triethanolamine, Purified Water",A-Ret Tretinoin Gel 0.05%,https://inkeedecoder.com/products/a-ret-tretinoin-gel-0-05
wrinkles,"Retinoic Acid Tretinoin (0.5), Isopropyl Myristate, Carbopol 974 Polymer, Polysorbate 80, Glycerol, Triglyceride, Light Liquid Vaseline, Butylated Hydroxytoluene, Butylated Hydroxy Anisole, Methylparaben, Propylparaben, Sodium Hydroxide, Aqua",ASSOS Tre® %0.05 Krem,https://inkeedecoder.com/products/assos-tre-r-0-05-krem
wrinkles,"Tretinoin, Cetyl Alcohol, Stearyl Alcohol, Tween 60, Sorbitan Monostearate, Methylparaben, Propylparaben, BHT, Propylene Glycol, Deionized-Water",Abdiibrahim Acnelyse,https://inkeedecoder.com/products/abdiibrahim-acnelyse
wrinkles,"Tretinoin (0.025), Butylhydroxytoluene (E321), Cetyl Alcohol, Methyl Parahydroxybenzoate (E218), Propyl Parahydroxybenzoate (E216), Propylene Glycol, Stearyl Alcohol",Acnelyse Tretinoin %0.025,https://inkeedecoder.com/products/acnelyse-tretinoin-0-025
wrinkles,"Tretinoin (0,05%), Butylhydroxytoluene (E321), Paraffin (Vaseline Flant), Polysorbate 60, Cetyl Alcohol, Methyl Parahydroxybenzoate (E218), Propyl Parahydroxybenzoate (E216), Propylene Glycol, Sorbitan Stearate (Span 60), Stearyl Alcohol, Purified Water",Acnelyse Tretinoin %0.05,https://inkeedecoder.com/products/acnelyse-tretinoin-0-05
wrinkles,"Tretinoin (0.05%), Polyoxyl 40 Stearate, Stearyl Alcohol, Isopropyl Myristate, Stearic Acid, BHT, Sorbic Acid, Xanthan Gum, Purified Water",Acretin 0.05% Tretinoin Cream,https://inkeedecoder.com/products/acretin-0-05-tretinoin-cream
wrinkles,"Tretinoin (0.025%), Stearyl Alcohol, Isopropyl Myristate, Propylene Glycol, Polysorbate 60, Sorbitan Monostearate, Glycerin, Carbomer, Edetate Disodium, Methylparaben, Propylparaben, Butylated Hydroxytoluene, Water",Acretin Tretinoin 0.025% Cream,https://inkeedecoder.com/products/acretin-tretinoin-0-025-cream
wrinkles,"Tretinoin (0.025%), Stearic Acid, Polyolprepolymer-2, Isopropyl Myristate, Polyoxyl 40 Stearate, Propylene Glycol, Stearyl Alcohol, Xanthan Gum, Sorbic Acid, Butylated Hydroxytoluene, Purified Water","Actavis Pharma, Inc. Actavis Tretinoin Cream, USP 0.025%",https://inkeedecoder.com/products/actavis-pharma-inc-actavis-tretinoin-cream-usp-0-025
wrinkles,"Tretinoin (0.5 Mg), Butylhydroxyanisole (E320) (X)",Airol cream 0.5 Airol Cream,https://inkeedecoder.com/products/airol-cream-0-5-airol-cream
wrinkles,"Tretinoin, Glycerol Stearate, Ceteareth-20, Sorbitol Solution (70%), Cetyl Esters Wax, Phytosqualene, Butylhydroxyanisole (E320), Disodium Edetate, Magnesium Sulfate Heptahydrate, Benzoic Acid (E210), Purified Water",Airol cream 0.5 Tretinoina,https://inkeedecoder.com/products/airol-cream-0-5-tretinoina
wrinkles,"Tretinoin (0.01%), Soluble Collagen, Elastin, Glyceryl Monostearate, Cetyl Alcohol, Stearyl Alcohol, Octyldodecanol, Methyl Paraben, Propyl Paraben, Carbopol, Trietanolamin (C.S.P Ph 7), Perfum, Imidurea, BHT, BHA, Propylenglycol, Purified Water","Andrómaco Hidrosam T 0,010%",https://inkeedecoder.com/products/andromaco-hidrosam-t-0-010
wrinkles,"Tretinoin (0.025%), Soluble Collagen, Elastin, Glyceryl Monostearate, Cetyl Alcohol, Stearyl Alcohol, Octyldodecanol, Methyl Paraben, Propyl Paraben, Carbopol, Trietanolamin (C.S.P Ph 7), Perfum, Imidurea, BHT, BHA, Propylenglycol, Purified Water","Andrómaco Hidrosam T 0,025%",https://inkeedecoder.com/products/andromaco-hidrosam-t-0-025
wrinkles,"Tretinoin (0,05%), Soluble Collagen, Elastin, Glyceryl Monostearate, Cetyl Alcohol, Stearyl Alcohol, Octyldodecanol, Methyl Paraben, Propyl Paraben, Carbopol, Trietanolamin (C.S.P Ph 7), Perfum, Imidurea, BHT, BHA, Propylenglycol, Purified Water","Andrómaco Hidrosam T 0,050%",https://inkeedecoder.com/products/andromaco-hidrosam-t-0-050
wrinkles,"Tretinoin (0,1%), Soluble Collagen, Elastin, Glyceryl Monostearate, Cetyl Alcohol, Stearyl Alcohol, Octyldodecanol, Methyl Paraben, Propyl Paraben, Carbopol, Trietanolamin (C.S.P Ph 7), Perfum, Imidurea, BHT, BHA, Propylenglycol, Purified Water","Andrómaco Hidrosam T 0,100%",https://inkeedecoder.com/products/andromaco-hidrosam-t-0-100
wrinkles,"Tretinoin (0.025% - 0.1%), Niacinamide (4%), Butylated Hydroxytoluene, C12-15 Alkyl Benzoate, Caprylic/​Capric Triglycerides, Cetyl Alcohol, Ethylhexylglycerin, Glycerin Usp, Glyceryl Stearate, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Olive Oil, Oleic Acid, PEG-100 Stearate, Phenoxyethanol, Polydimethylsiloxane, Purified Water, Propylene Glycol, Stearic Acid, Trolamine, Vitamin E",Apostrophe Tretinoin,https://inkeedecoder.com/products/apostrophe-tretinoin
wrinkles,"Tretinoin (0.05%), Aqua, Petrolatum, Propylene Glycol, Caprylic/​Capric Triglyceride, Ceteareth-20, Cetyl Alcohol, Glyceryl Stearate SE, Paraffinum Liquidum, Butylhydroxytoluene",Apoteka Dona Hidrofilni Krem Sa Tretinoinom 0.05%,https://inkeedecoder.com/products/apoteka-dona-hidrofilni-krem-sa-tretinoinom-0-05
wrinkles,"Tretinoin, Ceteareth-6, Stearyl Alcohol, Ceteareth-25, Glyceryl Mono Sterate, Cetyl Alcohol, Vaseline, Yellow 1, Beeswax, Cetearyl Octanoate, Imidurea, Methyl Paraben, Propylparaben, Propylene Glycol, Titanium Dioxide, Butylated Hydroxy Anisole, Purified Water",Avalon Pharma Avotin-a,https://inkeedecoder.com/products/avalon-pharma-avotin-a
wrinkles,"Retinoic Acid (Tretinoin), Isopropyl Myristate, Carbopol Polymer, Polysorbate 80, Miglyol, Glycerol, Paraffinum Liquidum, Butylated Hydroxytoluene, Butylated Hydroxy Anisole, Methylparaben, Propylparaben, Sodium Hydroxide, Aqua","Bailleul Laboratories Tretin® %0,05 Krem",https://inkeedecoder.com/products/bailleul-laboratories-tretin-r-0-05-krem
wrinkles,"Tretinoin (0.04%), Purified Water, Carbomer, Glycerin, Disodium EDTA, Propylene Glycol, Propylene Glycol Dicaprylate/​Dicaprate, Sorbic Acid, PPG-20 Methyl Glucose Ether Distearate, Cyclomethicone, Dimethicone Copolyol, Benzyl Alcohol, Trolamine, Butylated Hydroxytoluene",Bausch Health Retin-A Micro (0.04%),https://inkeedecoder.com/products/bausch-health-retin-a-micro-0-04
wrinkles,"Tretinoin, Butylhydroxytoluene, Isopropyl Myristate, Polyoxyl 40 Stearate, Stearic Acid, Stearyl Alcohol, Sorbic Acid, Xanthan Gum, Purified Water",Bausch Health Retin-a Cream 0.05%,https://inkeedecoder.com/products/bausch-health-retin-a-cream-0-05
wrinkles,"Tretinoin (0.1%), Water, Carbomer (0.1%), Glycerin, Disodium EDTA, Propylene Glycol, Sorbic Acid, PPG-20 Methyl Glucose Ether Distearate, Dimethicone/​Methicone Copolymer, Benzyl Alcohol, Triethanolamine, BHT",Bausch Health Retin-a Micro (tretinoin) Gel Microsphere 0.1%,https://inkeedecoder.com/products/bausch-health-retin-a-micro-tretinoin-gel-microsphere-0-1
wrinkles,"Tretinoin (0.05%), Alcohol (95%), Carboxyvinyl Polymer, Carbopol 980, Carbomer, Isopropyl Alcohol, Propylene Glycol, Purified Water, Trolamine",Bausch Health Vitamin A Acid Gel (0.05%),https://inkeedecoder.com/products/bausch-health-vitamin-a-acid-gel-0-05
wrinkles,"Retinoic Acid (0.05%), Water, Caprylic/​Capric Triglycerides, Stearyl Alcohol, Stearic Acid, Glyceryl Stearate, PEG-100 Stearate, Diisopropyl Dimer Dilinoleate, Aluminum, Magnesium Silicate, Polyoxyethylene 45 (40), Mg Stearate+, Benzyl Alcohol, Silica Gel, Bisabolol, Retinoic Acid, BHA, BHT",CCSD Rx Reverse Tretinoin 0.05%,https://inkeedecoder.com/products/ccsd-rx-reverse-tretinoin-0-05
wrinkles,"Tretinoin (0.05%), Butylated Hydroxytoluene, Cetomacrogol 1000, Lanolin Anhydrous, Glyceryl Monostearate Se, Cetostearyl Alcohol, Oleic Acid Decylester, Dimethicone 350, Sorbitol Solution (70%), Sorbic Acid, Potassium Sorbate, Purified Water",CTS CHEMICAL INDUSTRIES Ret-Avit Cream 0.05%,https://inkeedecoder.com/products/cts-chemical-industries-ret-avit-cream-0-05
wrinkles,"Tretinoin (0.05%), Cremophor Rh 40, Softigen 767, Carbomer 940, Butylated Hydroxytoluene, Methyl Dihydroxybenzoate, Sodium Propyl Hydroxybenzoate, Sodium Hydroxide, Hydrochloric Acid, Isopropyl Alcohol, Purified Water",CTS CHEMICAL INDUSTRIES Ret-Avit Gel 0.05%,https://inkeedecoder.com/products/cts-chemical-industries-ret-avit-gel-0-05
wrinkles,"Tretinoin, C12-20 Acid PEG-8 Ester, Cetyl Alcohol, Glycerin, Propylene Glycol, BHT, Ascorbyl Palmitate, Glyceryl Stearate, Citric Acid, Methyl Parahydroxybenzoate (E-219), Propyl Parahydroxybenzoate (E-217), Water",Cantabria Labs Neocare 4mg/g cream,https://inkeedecoder.com/products/industrial-farmaceutica-cantabria-neocare
wrinkles,"Ácido Retinoico, Ácido Glicólico, Propylene Glycol, PEG-7 Glyceryl Cocoate, Aminomethyl Propanol, Hydroxyethylcellulose, Polyvinyl Alcohol, Imidazolidinyl Urea, Disodium EDTA, BHT, Aqua",Cantabria Labs Retincare,https://inkeedecoder.com/products/cantabria-labs-retincare
