problem,ingredient,product_name,product_link
acne,acetylneuraminic-acid,Arkana Neuro Gaba And Nano Cream,https://inkeedecoder.com/products/arkana-neuro-gaba-and-nano-cream
acne,acetylneuraminic-acid,Isntree Onion Newpair Soothing Mask,https://inkeedecoder.com/products/isntree-onion-newpair-soothing-mask
acne,adapalene,Effaclar Adapalene Gel 0.1% Acne Treatment La Roche-Posay,https://inkeedecoder.com/products/la-roche-posay-effaclar-adapalene-gel-0-1-acne-treatment
acne,azelaic-acid,Azelaic Acid Derma Forte,https://inkeedecoder.com/products/derma-forte-azelaic-acid
acne,azelaic-acid,Azelaic Acid Control Facial Acne Gel Aisuanis,https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-control-facial-acne-gel
acne,azelaic-acid,Empowerment Azelaic Acid Sebamed Clear Face Facial Cream Aisuanis,https://inkeedecoder.com/products/aisuanis-empowerment-azelaic-acid-sebamed-clear-face-facial-cream
acne,azelaic-acid,Professional 10% Azelaic Acid Face Serum Bielenda,https://inkeedecoder.com/products/bielenda-professional-10-azaleic-acid-face-serum
acne,azelaic-acid,Azelaic Acid 10% Serum Cos De BAHA,https://inkeedecoder.com/products/cos-de-baha-azelaic-acid-10-serum
acne,azelaic-acid,Flawless Brightly Serum Dr Sam Bunting,https://inkeedecoder.com/products/dr-sam-bunting-flawless-brightly-serum
acne,azelaic-acid,Azelaic Acid Suspension 10% The Ordinary,https://inkeedecoder.com/products/the-ordinary-azelaic-acid-suspension-10
acne,azelaic-acid,Flawless Neutralising Gel Dr. Sam Bunting Skincare,https://inkeedecoder.com/products/dr-sam-bunting-skincare-flawless-neutralising-gel
acne,azelaic-acid,Flawless Nightly Serum Dr. Sam Bunting Skincare,https://inkeedecoder.com/products/dr-sam-bunting-skincare-flawless-nightly-serum
acne,benzoyl-peroxide,Clear Extra Strength Daily Skin Clearing Treatment With 5% Benzoyl Peroxide Paula's Choice,https://inkeedecoder.com/products/paulas-choice-clear-extra-strength-daily-skin-clearing-treatment-with-5-benzoyl-peroxide
acne,benzoyl-peroxide,Acne Foaming Cleanser CeraVe,https://inkeedecoder.com/products/cerave-acne-foaming-cleanser
acne,benzoyl-peroxide,Rapid Clear Stubborn Acne Cleanser Neutrogena,https://inkeedecoder.com/products/neutrogena-rapid-clear-stubborn-acne-cleanser
acne,benzoyl-peroxide,Treatment (2.5% Benzoyl Peroxide) Acne.org,https://inkeedecoder.com/products/acne-org-treatment-2-5-benzoyl-peroxide
acne,benzoyl-peroxide,Clear Regular Strength Daily Skin Clearing Treatment With 2.5% Benzoyl Peroxide Paula's Choice,https://inkeedecoder.com/products/paulas-choice-clear-regular-strength-daily-skin-clearing-treatment-with-2-5-benzoyl-peroxide
acne,berberis-vulgaris-root-extract,Drunk Elephant B-Hydra Intensive Hydration Serum,https://inkeedecoder.com/products/drunk-elephant-b-hydra-intensive-hydration-serum
acne,berberis-vulgaris-root-extract,Drunk Elephant B-hydra™ Intensive Hydration Serum,https://inkeedecoder.com/products/drunk-elephant-b-hydra-tm-intensive-hydration-serum-2
acne,berberis-vulgaris-root-extract,Pretty Privates Premium Back Acne Spray,https://inkeedecoder.com/products/pretty-privates-premium-back-acne-spray
acne,berberis-vulgaris-root-extract,Sane Hyaluronic Acid + Vitamin C + E,https://inkeedecoder.com/products/sane-hyaluronic-acid-vitamin-c-e
acne,berberis-vulgaris-root-extract,CoNatural Rose Face Gel,https://inkeedecoder.com/products/conatural-rose-face-gel
acne,berberis-vulgaris-root-extract,Paula's Choice Clear Exfoliating Body Spray,https://inkeedecoder.com/products/paulas-choice-clear-exfoliating-body-spray
acne,berberis-vulgaris-root-extract,Sane Niacinamide 7% Anti-pollution Face Serum,https://inkeedecoder.com/products/sane-niacinamide-7-anti-pollution-face-serum
